x,y,floor,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8
0,0,1,-35.8,-54.4,-61.0,-59.6,-77.5,-66.3,-72.1,-73.8
0,0,1,-34.9,,-59.5,-59.5,-75.1,-67.1,-71.8,-76.5
0,0,1,-41.2,-55.3,-59.3,-59.0,-77.2,-67.2,-72.1,-73.3
0,0,1,-36.8,-55.6,-61.3,-51.2,-75.4,-63.4,-70.4,-74.3
0,0,1,-33.4,,-61.4,-54.7,-75.7,-67.9,-71.4,-75.3
0,0,1,-37.1,-54.7,-62.0,-55.4,-76.5,-66.2,-72.9,-76.3
0,0,1,-32.8,-54.1,-57.2,-56.1,-77.4,-63.4,-78.7,-72.5
0,0,1,-36.8,-54.0,-61.7,-53.3,-76.8,-69.3,,-74.1
0,0,1,-32.5,-56.9,-56.9,-60.0,-73.7,-65.0,-76.3,-73.6
0,0,1,-36.8,-53.3,-60.1,-54.5,-79.5,-65.5,-75.1,-71.6
0,0,1,-32.7,-52.7,-60.2,-57.0,-76.8,-65.4,-77.3,-73.4
0,0,1,-33.5,-52.7,-61.1,-59.6,-78.7,-65.4,-72.6,-71.8
2,0,1,-35.5,-46.6,-60.3,-56.2,-71.3,-67.5,-74.2,-72.5
2,0,1,-40.1,-47.1,-61.8,-55.3,-79.5,-67.7,-69.8,-73.2
2,0,1,-32.7,-50.5,-56.5,-51.3,-78.9,-68.4,-71.4,-73.7
2,0,1,-38.0,-50.1,-58.6,-52.6,-77.1,-68.2,-70.5,-71.6
2,0,1,-34.1,-50.9,-56.3,-59.1,-74.5,-69.5,-72.8,-72.9
2,0,1,-38.2,-56.0,-57.4,-54.3,-76.5,-68.0,-77.4,-72.3
2,0,1,,-50.7,-60.7,-57.3,-76.5,-66.4,-70.4,-74.2
2,0,1,-34.8,-50.6,-58.3,-60.2,-76.2,-65.5,-75.2,-71.0
2,0,1,-31.5,-56.1,-56.0,-55.4,-74.8,-70.7,-72.4,-73.7
2,0,1,-34.8,-47.5,,-57.5,-78.3,-62.7,-74.1,-74.4
2,0,1,-34.5,-51.9,-57.9,-56.4,-76.5,-68.4,-74.8,-70.7
2,0,1,-30.4,-51.5,-59.7,-59.3,-77.2,-68.2,-73.0,-74.5
4,0,1,-45.0,-47.2,-55.2,-57.2,,-64.6,-74.5,-69.8
4,0,1,-44.9,-47.7,-57.9,-57.3,-76.7,-68.8,-72.6,
4,0,1,-43.4,-45.8,-61.0,-54.4,-77.0,,-71.9,-74.8
4,0,1,-41.0,-43.3,-58.3,-51.7,-78.6,-73.0,-69.5,-72.9
4,0,1,-42.2,-50.7,-60.0,-55.7,-75.1,-69.9,-70.3,-70.1
